session,filename,song_id,variant,mode,c1,c2,hue,brightness,warmth,timestamp
6ec160c6-20df-4ee0-a20d-807b9ff281b5,wallpaper_2.jpg,,2,radial,#71646d,#9491a5,11,0.8,warm,2025-05-22T11:04:45.609322
0e97902b-e581-4f70-8814-ba28e502d742,wallpaper_3.jpg,,3,angular,#74af94,#6c796d,88,0.84,neutral,2025-05-22T11:07:40.372398
ecbcf834-b958-4431-84d9-9294881b553d,wallpaper_3.jpg,,3,dual-radial,#231c18,#794235,25,0.81,warm,2025-05-22T11:10:15.239377
a98ddbb6-653a-4bbd-b38c-24045183cb2b,wallpaper_3.jpg,,3,linear,#bbbeb2,#988640,70,0.74,neutral,2025-05-22T11:12:19.640456
75067b64-d2b7-4846-a31f-f3294dbd75a3,wallpaper_3.jpg,,3,dual-radial,#bbbeb2,#988640,70,0.74,neutral,2025-05-22T11:13:20.119669
1b55ac16-76c5-4299-9f34-e78da713a711,wallpaper_1.jpg,,1,linear,#74af94,#6c796d,88,0.84,neutral,2025-05-22T11:19:54.912532
6f081d36-e705-48a5-afdc-a61f8cbe2734,wallpaper_3.jpg,,3,linear,#427aab,#859bb7,213,0.72,cool,2025-05-22T11:25:14.304369
389049a1-65dc-4a1e-9485-043697b208ac,389049a1-65dc-4a1e-9485-043697b208ac_wallpaper_1.jpg,,1,radial,#749163,#161b13,90,0.11,neutral,2025-05-22T12:20:23.059082
4818bf96-723d-4412-a109-418f63c55f86,4818bf96-723d-4412-a109-418f63c55f86_wallpaper_1.jpg,,1,linear,#5f5e38,#a58c85,90,0.11,neutral,2025-05-22T12:22:00.608275
4a1d29b5-4bc8-4c79-aedc-fb604b79eaae,4a1d29b5-4bc8-4c79-aedc-fb604b79eaae_wallpaper_1.jpg,,1,radial,#f8a8a7,#e77272,359,0.86,warm,2025-05-22T14:13:21.224291
